batch_id,row_number,record_type,cycle,sphere,proposal_text,responsible_org,interested_orgs,completion_form,due_raw,status_raw,position_go_2024_2025,position_go_2026_03_27,position_adgs,case_raw
d3c7eac0-e095-4d95-8e24-d4987a175940,1,Мониторинг,I,Строительство,"Исключить требования по разработке проектно-сметной документации для сноса строений, находящихся на балансе государственных органов и государственных юридических лиц, признанных аварийными.",МПС,МПС,Проект Приказа Министра индустрии и инфраструктурного развития Республики Казахстан «О внесении изменений и дополнений в Приказ Министра индустрии и инфраструктурного развития Республики Казахстан от 29 апреля 2021 года № 202 «Об утверждении Правил выдачи решения на проведение комплекса работ по постутилизации объектов (снос зданий и сооружений),2024 год,Не поддерживается,"Не поддерживается министерством (согласовано с АДГС)

Позиция МИИР: не поддерживается:
Постутилизация объектов (снос зданий и сооружений) осуществляется в соответствии с требованиями государственных нормативов в области архитектуры, градостроительства и строительства на основании разработанного проекта производства работ (далее-ППР). 
Справочно; проект производства работ для демонтажа и сноса – документация, в которой детально прорабатываются вопросы рациональной технологии и организации работ по демонтажу и сносу конкретного объекта на данной площадке.
В ППР прорабатываются вопросы рациональной технологии и организации работ по сносу конкретного объекта, так как при сносе объекта могут быть произведены взрывные работы, использован подъемный кран шар-молот и т.д.,  применение которых может привести к угрозе безопасности жизни, гибели людей.
При подготовке ППР зданий и сооружений учитываются результаты проведенного технического обследования надежности и устойчивости зданий и сооружений. Стоит отметить, что ППР разрабатывается для всех технически и (или) технологически сложных объектов.
В случае если снос зданий и сооружений планируется осуществлять с привлечением средств государственных инвестиций, либо с их участием, заказчик обеспечивает подготовку сметной документации на снос объекта.
Разработка сметной документации является обязательной для ведения контроля использования бюджетных средств.
При этом, в случае сноса зданий и сооружений с одновременным возведением нового объекта, строительство осуществляется по проектной (проектно-сметной) документации, прошедшей комплексную вневедомственную экспертизу проектов, в соответствии со статьей 60 Закона РК «Об архитектурной, градостроительной и строительной деятельности в РК».
Таким образом, ППР и сметная документация являются обязательными документами в целях соблюдения безопасности, рациональной технологии и организации работ по сносу конкретного объекта, контроля бюджетных средств.
Учитывая изложенное, внесение изменения в действующие Правила выдачи решения на проведение комплекса работ по постутилизации объектов (снос зданий и сооружений), утвержденные приказом Министра индустрии и инфраструктурного развития Республики Казахстан от 29 апреля 2021 года № 202, нецелесообразно.","Не поддерживается министерством (согласовано с АДГС)

Позиция МИИР: не поддерживается:
Постутилизация объектов (снос зданий и сооружений) осуществляется в соответствии с требованиями государственных нормативов в области архитектуры, градостроительства и строительства на основании разработанного проекта производства работ (далее-ППР). 
Справочно; проект производства работ для демонтажа и сноса – документация, в которой детально прорабатываются вопросы рациональной технологии и организации работ по демонтажу и сносу конкретного объекта на данной площадке.
В ППР прорабатываются вопросы рациональной технологии и организации работ по сносу конкретного объекта, так как при сносе объекта могут быть произведены взрывные работы, использован подъемный кран шар-молот и т.д.,  применение которых может привести к угрозе безопасности жизни, гибели людей.
При подготовке ППР зданий и сооружений учитываются результаты проведенного технического обследования надежности и устойчивости зданий и сооружений. Стоит отметить, что ППР разрабатывается для всех технически и (или) технологически сложных объектов.
В случае если снос зданий и сооружений планируется осуществлять с привлечением средств государственных инвестиций, либо с их участием, заказчик обеспечивает подготовку сметной документации на снос объекта.
Разработка сметной документации является обязательной для ведения контроля использования бюджетных средств.
При этом, в случае сноса зданий и сооружений с одновременным возведением нового объекта, строительство осуществляется по проектной (проектно-сметной) документации, прошедшей комплексную вневедомственную экспертизу проектов, в соответствии со статьей 60 Закона РК «Об архитектурной, градостроительной и строительной деятельности в РК».
Таким образом, ППР и сметная документация являются обязательными документами в целях соблюдения безопасности, рациональной технологии и организации работ по сносу конкретного объекта, контроля бюджетных средств.
Учитывая изложенное, внесение изменения в действующие Правила выдачи решения на проведение комплекса работ по постутилизации объектов (снос зданий и сооружений), утвержденные приказом Министра индустрии и инфраструктурного развития Республики Казахстан от 29 апреля 2021 года № 202, нецелесообразно.",Возможно оставить впрорабокте с длительным сроком исполнения,
d3c7eac0-e095-4d95-8e24-d4987a175940,2,Мониторинг,I,Госуслуги,"Проработать и внести предложения по пересмотру и оптимизации количества комиссий и процедур согласований, предусмотренных при оказании государственных услуг.",МЦРИАП,"МЦРИАП, АДГС",Предложения в Администрацию Президента Республики Казахстан,2024 год,Исполнено,"В работе

Срок до конца 2024 года

В  настоящее время в рамках поручения Главы государства МЦРИАП ведет координацию работы ЦГО в рамках проекта ""Invisible Government"" 9 ключевых жизненных ситуаций. Вместе с тем, согласно п. 11 ст. 10 Закона ""О государственных услугах"" центральные государственные органы обеспечивают предоставление информации о принимаемых мерах по автоматизации процесса оказания государственных услуг в уполномоченный орган в сфере информатизации для проведения оценки процесса автоматизации оказания государственных услуг в порядке и сроки, которые установлены законодательством Республики Казахстан, при этом отмечаем что государственными органами информации по предложениям АДГС (100+113+77 услуг) не было представлено в МЦРИАП. Просим повторно дать поручение о необходимости представлении конкретных предложений. 

В рамках заслушивания гос. органов на площадке АДГС (16 направлений)","1) Согласно Приказу и.о. Министра сельского хозяйства Республики Казахстан от 5 мая 2025 года № 146 ""О внесении изменений в приказ Министра сельского хозяйства Республики Казахстан от 30 января 2015 года № 7-1/68 ""Об утверждении Правил идентификации сельскохозяйственных животных"" для оказания госуслуги ""Выдача ветеринарного паспорта"" исключена комиссия.",,"2 Проработать и внести предложения по пересмотру и оптимизации количества комиссий и процедур согласований, предусмотренных при оказании государственных услуг. Предложения в Администрацию Президента Республики Казахстан 2024 год В работе 
Согласно Приказу и.о. Министра сельского хозяйства Республики Казахстан от 5 мая 2025 года № 146 ""О внесении изменений в приказ Министра сельского хозяйства Республики Казахстан от 30 января 2015 года № 7-1/68 ""Об утверждении Правил идентификации сельскохозяйственных животных"" для оказания госуслуги ""Выдача ветеринарного паспорта"" исключена комиссия.
  За последние три года по фактам коррупции осуждено свыше трех тысяч должностных лиц. Каждый из указанных случаев не остается без внимания средств массовой информации. Как результат, принимаются комплексные меры по противодействию коррупции. За счет различных инструментов, в том числе антикоррупционной экспертизы, анализа коррупционных рисков, правовая система начинает избавляться от так называемых «дискреционных полномочий» (возможность должностного лица принимать решения по своему усмотрению) и на их смену приходят «гарантийные механизмы» – согласования, заключения специалистов и экспертов, решения конкурсных комиссий, консультативно-совещательных органов, результаты проверок и другие. 
Они, с одной стороны, во многих случаях неоправданно усложняют процедуры, с друго – нивелируют персональную ответственность политических служащих. 
В целях обеспечения баланса между приоритетами антикоррупционной политики и задачами по дебюрократизации деятельности госаппарата назрела необходимость установления принципа «доверия в обмен на персональную ответственность» в законодательных актах, определяющих порядок осуществления административных процедур.
Важно, чтобы данный институт одинаково сочетал в себе два компонента: с одной стороны, возможность самостоятельного принятия решения без бюрократических процедур, а также пределы и реалистичные основания (условия и случай) принятия такого решения; с другой – персональную ответственность политического служащего и систему последующей оценки (ведение учета таких решений и оценка их эффективности), а также антикоррупционные ограничения (например, недопустимость принятия таких решений в пользу близких родственников и.т.д.).
Поэтому по мере развития отечественного законодательства следует вводить принцип «доверие в обмен на персональную ответственность» в законодательные акты, определяющие порядок осуществления административных процедур.
Сегодня более трехсот зданий Министерства обороны признаны аварийными, при этом снести их невозможно. Для сноса вышеуказанных зданий необходимо заключение Высшей аудиторской палаты. В свою очередь, для выдачи такого заключения необходима проектная документация, на составление которой не выделяются средства или утеряны первичные данные. Таким образом, избыточные требования приводят к невозможности принятия мер по своевременной постутилизации ветхих объектов.
Предлагается исключить требования по разработке проектно-сметной документации для сноса строений, находящихся на балансе государственных органов и государственных юридических лиц, признанных аварийными.
В сфере оказания госуслуг, как показывают результаты мониторинга, порядка 100 услуги оказываются на основании различных комиссий. Работа многих из этих комиссии являются излишним звеном. К примеру, вопрос об отсрочке воинской службы решается комиссионно. Однако, основания об отсрочке прописаны в законе, они подтверждаются официальными документами. Иначе говоря, указанные вопросы не требуют обсуждения либо межведомственного согласования. 
Кроме того, более 190 государственных услуг оказываются через процедуру согласования, из них 113 с другими госорганами, порядка 77 требуют согласования с экспертами"
d3c7eac0-e095-4d95-8e24-d4987a175940,3,Мониторинг,I,Госслужба,"Внести изменения и дополнения в некоторые законодательные акты Республики Казахстан, предусматривающие: 
1)  освобождение должностных лиц от дисциплинарной, административной и уголовной ответственности за совершения действий (бездействия) и принятие решений в условиях крайней необходимости;
2) ряд механизмов, создающих возможность применения института крайней необходимости в отношении должностных лиц, и согласно которым не является уголовным, административным правонарушением либо дисциплинарным проступком в случаях, когда действия, принятые решения должностного лица, направленные на устранение опасности, непосредственно угрожающей жизни, здоровью, правам и законным интересам граждан, общества и государства, если эта опасность не могула быть устранена иными средствами, а действия, принятые решения должностного лица не связаны с извлечением незаконных благ и преимуществ.",МЮ,"МЮ, АДГС, ГП",Проект Закона Республики Казахстан «О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан,2024 год,Не поддерживается - исключить,"Не поддерживается министерством (согласовано с АДГС)

Позиция МЮ: Прежде всего, необходимо отметить, что непонятно за совершение каких действий (бездействий) и на принятие каких решений должностными лицами будет распространяться освобождение от административной ответственности, в условиях крайней необходимости и каким образом данные обстоятельства будут соответствовать основаниям причинения вреда при крайней необходимости.
Также, данное предложение дает преимущество должностным лицам в отличии от других граждан, тогда как в статье 14 Конституции РК говорится, что все равны перед законом и судом. Никто не может подвергаться какой-либо дискриминации по мотивам происхождения, социального, должностного и имущественного положения, пола, расы, национальности, языка, отношения к религии, убеждений, места жительства или по любым иным обстоятельствам. В этой связи, предлагаемые инициативы не поддерживаются. 
МЮ проанализировать эффективность, статистика админ наказания совместно с АДГС.рекомендательный характер, возможность разьяснительных работ срок

Актуальная информация: ""Позиция МЮ:
Не поддерживается по следующим основаниям. 
I.Анализ норм КоАП а также в УК показал, что в настоящее время в общей части содержится общая норма о крайней необходимости, которая распространяется на всех физических лиц (на должностных лиц тоже).

Пример:
Статьи КоАП: 75, 76, 78, 80, 81, 89 и т.д.

II.В пункте 3 статьи 47 Закона «О государственной службе Республики Казахстан» (далее – Закон) предусмотрена норма, исключающая материальную ответственность государственного служащего за ущерб, причиненный государственному органу, если ущерб возник в результате непреодолимой силы либо крайней необходимости, необходимой обороны, а также неисполнения государственным органом обязанности по обеспечению надлежащих условий для сохранности имущества, переданного государственному служащему.
В этой связи, считаем нецелесообразным установление дополнительных норм в КоАП, УК и в Законе, которые освобождают от  административной, уголовной или дисциплинарной (материальной) ответственности должностных лиц в случае крайней необходимости, так как нормы в действующем законодательстве предусмотрены.""","Как уже неоднократно указывалось Министерством, в соответствии с Законом «Об органах юстиции» вышеуказанные вопросы не входят в компетенцию Министерства, согласно которому просим пересмотреть ответственных государственных органов. Соответствующая позиция внесена в Ваш адрес письмом от 18 ноября 2025 года № 1-2-8-/31271.",исключить,
d3c7eac0-e095-4d95-8e24-d4987a175940,4,Мониторинг,I,Общая,Проработать и внести предложения по введению механизмов принятия исключительных мер по согласованию с контрольными и уполномоченными органами.,АПр,"Правительство, АДГС, ГП",Предложения в Администрацию Президента Республики Казахстан,2023 год,Исполнено,"Исполнено (согласовано с АДГС)

Позиция ОКДО Аппарата Правительства: Реализовано. С начала года переданы полномочия в ЦГО и МИО, где так же описаны полномочия, утвержден новый регламент Правительства Республики Казахстан",,,
d3c7eac0-e095-4d95-8e24-d4987a175940,5,Мониторинг,I,Общая,"Внести изменения и дополнения в некоторые законодательные акты Республики Казахстан по введению механизма по принятию исключительных мер, направленных на обеспечение эффективности госуправления, руководителями центральных госорганов по согласованию с Высшей аудиторской палатой, а также руководителями местных исполнительных органов - по согласованию с соответствующей ревизионной комиссией.",АПр,"Правительство, Высшая аудиторская палата",Проект Закона Республики Казахстан «О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан»,2023 год,Исполнено,"Исполнено (согласовано с АДГС)

Позиция ОКДО Аппарата Правительства: Реализовано. С начала года переданы полномочия в ЦГО и МИО, где так же описаны полномочия, утвержден новый регламент Правительства Республики Казахстан",,,
d3c7eac0-e095-4d95-8e24-d4987a175940,6,Мониторинг,I,Госслужба,"Внести изменения и дополнения в законодательные акты Республики Казахстан по вопросам отнесения гражданских служащих и иных работников, обеспечивающих исполнение государственных обязательств, в перечень лиц, подпадающих под определение «лица, приравненного к лицам, уполномоченным на выполнение государственных функций»",АДГС,"АДГС, АПК, МТЗСН",Проект Закона Республики Казахстан «О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан»,2024 год,Исполнено,"Исполнено (согласовано с АДГС)

Позиция ОКДО Аппарата Правительства: Реализовано. Еще в июне 2022 года внесены соответствующие изменения в Регламент Правительства",,,
d3c7eac0-e095-4d95-8e24-d4987a175940,7,Мониторинг,I,Общая,"Внести изменения и дополнения в регламенты центральных государственных органов по вопросам принятия и недопущения отказа в принятии корреспонденций за подписью руководителей местных исполнительных органов областей, городов республиканского значения, столицы, а также возможности участия и выражения ими позиции на совещаниях с центральными государственными органами по вопросам организационно-технического и текущего характера.",АПр,"Правительство, заинтересованные центральные государственные органы",Регламенты центральных государственных органов,2023 год,Исполнено,"Исполнено (согласовано с АДГС)

Позиция ОКДО Аппарата Правительства: Реализовано. Еще в июне 2022 года внесены соответствующие изменения в Регламент Правительства",,,
d3c7eac0-e095-4d95-8e24-d4987a175940,8,Мониторинг,I,Предпринимательство,"Внести изменения и дополнения в Указ Президента Республики Казахстан от 26 декабря 2019 года № 229 «О введении моратория на проведение проверок и профилактического контроля и надзора с посещением в Республике Казахстан» по вопросам установления сроков вынесения решения первым руководителем центрального государственного или местного исполнительного органа по проведению:
1) проверок, направленных на предотвращение или устранение нарушений, которые потенциально несут массовую угрозу жизни и здоровью населения, окружающей среде, законности и общественному порядку; прямую или непосредственную угрозу конституционному строю и национальной безопасности, а также проводимых по основаниям, предусмотренным Законом Республики Казахстан от 4 июля 2003 года «О государственном регулировании, контроле и надзоре финансового рынка и финансовых организаций»;
2) проверок в случаях, когда для выявления причин возникновения фактов нарушения требований, установленных законодательством Республики Казахстан, недостаточно проведения одной внеплановой проверки по конкретному факту в отношении конкретного субъекта (объекта) контроля и надзора и требуются контроль и надзор в отношении иных субъектов, связанных с данным конкретным фактом.",МНЭ,"МНЭ, ГП",Проект Указа Президента Республики Казахстан «О внесении изменений и дополнений в Указ Президента Республики Казахстан от 26 декабря 2019 года № 229 «О введении моратория на проведение проверок и профилактического контроля и надзора с посещением в Республике Казахстан»,2023 год,Исполнено,"Вопрос решен.
Справочно
7 декабря 2022 года внесены изменения в действующий Указ Президента РК с исключением внеплановых проверок. Порядок и сроки проведения внеплановых проверок установлены статьями 144 и 148 Предпринимательского кодекса РК. Вместе с тем, в подпункте 1) пункта 1 Указа предусмотрены исключения для проверок, направленных на предотвращение или устранение нарушений, которые потенциально несут массовую угрозу: жизни и здоровью населения, окружающей среде, законности и общественному порядку, прямую или непосредственную угрозу конституционному строю и национальной безопасности. Таким образом, в случае наличия оснований, а именно конкретных фактов и обстоятельств о наличии массовой угрозы допускается проведение проверки на основании решения первого руководителя центрального государственного органа. В этой связи, внесение изменений в Указ не требуется. Указ подписан 7 декабря 2022 года (ПИ-89160).",,,
d3c7eac0-e095-4d95-8e24-d4987a175940,9,Мониторинг,I,Цифровизация,"Внести изменения и дополнения в законодательство Республики Казахстан об электронном документе и электронной цифровой подписи, предусматривающие установление требований о том, что цифровые документы вводятся в действие в случаях, если созданы условия их перепроверки посредством электронного архива, в том числе за счет сервиса цифровых документов.",МЦРИАП,МЦРИАП,Проект Закона Республики Казахстан «О внесении изменений и дополнений в Закон Республики Казахстан «Об электронном документе и электронной цифровой подписи» по вопросам условий введения в действие цифровых документов»,2024 год,Исполнено,"Не поддерживается министерством (согласовано с АДГС)

Законодательством описано использование цифровых документов и приравнены к бумажным

На сегодняшний день на законодательном уровне цифровые документы равнозначны к бумажным согласно Законам РК «О документах, удостоверяющих личность», «О государственных услугах», «О цифровизации», «О государственной границе РК».
Кроме того, сохранения рисков недовольства граждан вызванного «цифровым неравенством», например, отсутствием смартфона или доступом к сети интернет, особенно в сельской местности.
Вопросы по не прекращающимся запросам информации доступной в открытых ресурсах государственным органам и организациям следует решать популяризацией этих ресурсов и возможно созданием удобных сервисов позволяющих действительно оперативно и комфортно получать необходимые сведения с размещением их на популярных площадках с учетом групп населения их использующих.",Деятельности цифрового документа предусмотрена в Цифровом кодексе РК.,,"9 Внести изменения и дополнения в законодательство Республики Казахстан об электронном документе и электронной цифровой подписи, предусматривающие установление требований о том, что цифровые документы вводятся в действие в случаях, если созданы условия их перепроверки посредством электронного архива, в том числе за счет сервиса цифровых документов. Проект Закона Республики Казахстан «О внесении изменений и дополнений в Закон Республики Казахстан «Об электронном документе и электронной цифровой подписи» по вопросам условий введения в действие цифровых документов» 2024 год Деятельности цифрового документа предусмотрена в Цифровом кодексе РК.  Переход к цифровым документам имеет ряд преимуществ. В первую очередь, цифровые документы обеспечивают возможность воплощения принципа экстерриториальности. Иначе говоря, цифровые документы становятся доступными, так как их можно получить электронно, не выходя из дома либо в любом уголке нашей страны без привязки к месту проживания. 
Цифровые документы, заменяя традиционные документы, исключают расходы, предназначенные для изготовления последних. Сегодня созданы порядка двадцати цифровых документов.
Вместе с тем, одним из барьеров в развитии цифровых документов выступают, с одной стороны, сложившиеся сознательные привычки и, с другой – недоверие к цифровым документам. 
Преодоление указанных барьеров возможно при условии удовлетворения единственной потребности – это перепроверка цифровых документов как гарантия правомерности юридически значимых действий, совершаемых на их основании."
d3c7eac0-e095-4d95-8e24-d4987a175940,10,Мониторинг,I,Общая,"Внести изменения и дополнения в административное процедурно-процессуальное законодательство Республики Казахстан по вопросам недопустимости запроса гражданами и организациями информации, доступной в объектах информатизации «электронного правительства».",МЦРИАП,"МЮ, МЦРИАП",Проект Закона Республики Казахстан «О внесении изменений и дополнений в Административный процедурно-процессуальный кодекс Республики Казахстан»,2024 год,В работе,"Не поддерживается министерством (согласовано с АДГС)

Разьяснительная работа, проводить анализ скрытых услуг и переводить в госуслуги, рассмотреть вопрос автоматизации, кажды ГО выявлять скрытые госуслуги и выводить в реестр госуслуг
Позиция МЮ не является инициатором законопроекта Позиция МЦРИАП: ст. 45 п. 5-1 Административный процедурно-процессуального кодекса Предусмотрено: Государственным органам и иным лицам при осуществлении государственных функций и оказании вытекающих из них государственных услуг запрещаются сбор и истребование информации от физических и юридических лиц в случае их наличия в объектах информатизации ""электронного правительства"". Полагаем нецелесообразным разработки дополнительной нормы. 

Позиция МЦРИАП: Не поддерживается.
Полагаем запрет на истребование сведений гражданами является нецелесообразным, и не соответствует принципам взаимодействия государства и гражданина. 
Наличие множества типовых обращений является признаком скрытых государственных услуг, государственным органам рекомендуется проведение анализа на наличие скрытых государственных услуг, включение их в Реестр госуслуг, ее регламентация и автоматизация. Это позволит нормативно закрепить ее оказание исключительно в электронной форме (при наличии технической готовности и анализа социальных рисков)
Также возможно создание автоматизированного и удобного сервиса и его популяризация, что будет соответствовать концепции «слышащего государства».
ЦГО в рамках анализа обращений обеспечить выявление типовых запросов и заявлений и инициировать предложения в МЦРИАП про включению скрытых услуг в Реестр государственных услуг",Оставить вопрос в проработке,,"Разьяснительная работа, проводить анализ скрытых услуг и переводить в госуслуги, рассмотреть вопрос автоматизации, кажды ГО выявлять скрытые госуслуги и выводить в реестр госуслуг
Позиция МЮ не является инициатором законопроекта Позиция МЦРИАП: ст. 45 п. 5-1 Административный процедурно-процессуального кодекса Предусмотрено: Государственным органам и иным лицам при осуществлении государственных функций и оказании вытекающих из них государственных услуг запрещаются сбор и истребование информации от физических и юридических лиц в случае их наличия в объектах информатизации """"электронного правительства"""". Полагаем нецелесообразным разработки дополнительной нормы. 

Позиция МЦРИАП: Не поддерживается.
Полагаем запрет на истребование сведений гражданами является нецелесообразным, и не соответствует принципам взаимодействия государства и гражданина. 
Наличие множества типовых обращений является признаком скрытых государственных услуг, государственным органам рекомендуется проведение анализа на наличие скрытых государственных услуг, включение их в Реестр госуслуг, ее регламентация и автоматизация. Это позволит нормативно закрепить ее оказание исключительно в электронной форме (при наличии технической готовности и анализа социальных рисков)
Также возможно создание автоматизированного и удобного сервиса и его популяризация, что будет соответствовать концепции «слышащего государства».
ЦГО в рамках анализа обращений обеспечить выявление типовых запросов и заявлений и инициировать предложения в МЦРИАП про включению скрытых услуг в Реестр государственных услуг  Ключевую роль в совершенствовании процесса оказания госуслуг, в том числе оптимизации пакета необходимых для этого документов, отводится нововведению о запрете истребования документов и сведений, которые могут быть получены из информационных систем, используемых для оказания государственных услуг, или сервиса цифровых документов (ст. 5 ЗРК «О госуслугах»). 
Кроме того, административное процедурно-процессуальное законодательство (ст. 45) государственным органам и иным лицам при осуществлении государственных функций и оказании вытекающих из них государственных услуг запрещает сбор и истребование информации от физических и юридических лиц в случае их наличия в объектах информатизации «электронного правительства».
Однако, как показывают результаты мониторинга, в подобных запретах нуждаются общественные отношения, не связанные с оказанием госуслуг. Следует также учесть, что подобное необоснованное истребование информации, доступной в официальных и открытых источниках, напротив, может исходить от граждан. Так, например, в Национальный банк поступают часто запросы от физических лиц и негосударственных организаций о выдаче справок с информацией курса валют и ставке рефинансирования, подкрепленных подписью и печатью банка. Данная информация доступна на официальном сайте банка и является актуальной."
